Rank,Movie,Release_Date,Genre,MPAA_Rating,Gross,Tickets Sold
8,Dumbo,"Mar 29, 2019",Adventure,PG,"$114,766,307","12,529,073"
9,Maleficent: Mistress of Evil,"Oct 18, 2019",Adventure,PG,"$113,294,737","12,368,421"
10,Mary Poppins Returns,"Dec 19, 2018",Musical,PG,"$33,141,176","3,618,032"
11,Ralph Breaks The Internet,"Nov 21, 2018",Adventure,PG,"$13,939,018","1,521,726"
12,Penguins,"Apr 17, 2019",Documentary,G,"$7,699,452","840,552"
13,The Nutcracker and the Four Realms,"Nov 2, 2018",Adventure,PG,"$73,093","7,979"
1,Star Wars: The Rise of Skywalker,"Dec 20, 2019",Adventure,PG-13,"$124,496,308","13,576,478"
2,Onward,"Mar 6, 2020",Adventure,PG,"$61,555,145","6,712,665"
3,Frozen II,"Nov 22, 2019",Adventure,PG,"$26,934,045","2,937,191"
4,Hocus Pocus,"Jul 16, 1993",Comedy,PG,"$4,777,471","520,989"
5,The Nightmare Before Christmas,"Oct 13, 1993",Musical,PG,"$2,286,000","249,291"
6,Star Wars Ep. V: The Empire Strikes Back,"Sep 25, 2020",Adventure,PG,"$1,580,209","172,323"
7,Toy Story,"Nov 22, 1995",Adventure,G,"$870,305","94,907"
8,Coco,"Nov 22, 2017",Musical,PG,"$734,000","80,043"
9,"Monsters, Inc.","Nov 2, 2001",Adventure,G,"$726,000","79,171"
10,The Santa Clause,"Nov 11, 1994",Adventure,PG,"$706,000","76,990"
11,Maleficent: Mistress of Evil,"Oct 18, 2019",Adventure,PG,"$634,868","69,233"
12,Guardians of the Galaxy,"Aug 1, 2014",Action,PG-13,"$542,000","59,105"
13,Frozen,"Nov 27, 2013",Musical,PG,"$215,000","23,446"
14,The Muppet Christmas Carol,"Dec 11, 1992",Comedy,G,"$105,400","11,494"
1,Shang-Chi and the Legend of the Ten Rings,"Sep 3, 2021",Action,PG-13,"$224,543,292","24,486,728"
2,Black Widow,"Jul 9, 2021",Action,PG-13,"$183,651,655","20,027,443"
3,Eternals,"Nov 5, 2021",Action,PG-13,"$164,694,432","17,960,134"
4,Jungle Cruise,"Jul 30, 2021",Adventure,PG-13,"$116,987,516","12,757,635"
5,Encanto,"Nov 24, 2021",Adventure,PG,"$91,386,126","9,965,771"
6,Cruella,"May 28, 2021",Comedy,PG-13,"$86,103,234","9,389,666"
7,Raya and the Last Dragon,"Mar 5, 2021",Adventure,PG,"$54,723,032","5,967,615"
8,The Emperor's New Groove,"Dec 15, 2000",Adventure,G,"$334,000","36,423"
9,Remember the Titans,"Sep 29, 2000",Drama,PG,"$65,000","7,088"
1,Encanto,"Nov 24, 2021",Adventure,PG,"$4,620,741","503,897"
3,Eternals,"Nov 5, 2021",Action,PG-13,"$175,832","19,174"
