Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Metascore,IMDBRating,imdbVotes,imdbID,movieId,title,genres,movie_title,year
Olaf Presents,2021,TV-PG,12 Nov 2021,-1,Animation|Short|Comedy,,,"Josh Gad, Paul Briggs","Spanish, English",United States,,-1.0,7.3,"2,584",tt15475608,,,,,
Paperman,2012,G,02 Nov 2012,7,Animation|Short|Comedy,John Kahrs,"Clio Chiang, Kendelle Hoyer","John Kahrs, Kari Wahlgren, Jack Goldenberg",English,United States,Won 1 Oscar. 3 wins & 2 nominations total,-1.0,8.2,"33,077",tt2388725,98491.0,Paperman (2012),Animation|Comedy|Romance,Paperman,2012.0
Pixar 2021 Disney+ Day Special,2021,G,12 Nov 2021,-1,Documentary|Short,,,"Pete Docter, Angus MacLane, Domee Shi",English,United States,,-1.0,-1.0,42,tt16026492,,,,,
Shang-Chi and the Legend of the Ten Rings,2021,PG-13,03 Sep 2021,132,Action|Adventure|Fantasy,Destin Daniel Cretton,"Dave Callaham, Destin Daniel Cretton, Andrew Lanham","Simu Liu, Awkwafina, Tony Chiu-Wai Leung","English, Mandarin",United States,Nominated for 1 Oscar. 17 wins & 52 nominations total,71.0,7.5,"334,590",tt9376612,,,,,
Spin,2021,G,24 Oct 2021,16,Short|Drama|Romance,Lisa Tedesco,Lisa Tedesco,"Jahdey Wright, Glenn Ghirardi, Sierra Berkeley Fisher",English,United States,21 wins & 5 nominations,-1.0,-1.0,12,tt13681768,193051.0,,Documentary,,
Tangled Ever After,2012,G,13 Jan 2012,6,Animation|Short|Adventure,"Nathan Greno, Byron Howard","Nathan Greno, Byron Howard, Mark Kennedy","Mandy Moore, Zachary Levi, Alan Dale",English,United States,,-1.0,7.6,"17,340",tt2112281,,,,,
The Ballad of Nessie,2011,G,15 Jul 2011,5,Animation|Short|Adventure,"Kevin Deters, Stevie Wermers","Regina Conroy, Stevie Wermers, Kevin Deters","Billy Connolly, Kevin Deters",English,United States,1 nomination,-1.0,6.9,"2,032",tt1827536,,,,,
The Little Matchgirl,2006,G,07 Jul 2006,7,Animation|Short|Drama,Roger Allers,"Hans Christian Andersen, Roger Allers, Ed Gombert",,None,United States,Nominated for 1 Oscar. 2 nominations total,-1.0,7.8,"4,702",tt0816562,126072.0,The Little Matchgirl (2006),Animation,The Little Matchgirl,2006.0
The Making of Happier Than Ever: A Love Letter to Los Angeles,2021,G,12 Nov 2021,30,Documentary,David Clair,,"Gustavo Dudamel, Billie Eilish, Finneas O'Connell",English,United States,,-1.0,-1.0,49,tt16022750,,,,,
The Simpsons in Plusaversary,2021,TV-PG,12 Nov 2021,5,Animation|Short|Comedy,David Silverman,"Joel H. Cohen, Jessica Conrad, Al Jean","Dan Castellaneta, Nancy Cartwright, Yeardley Smith",English,United States,,-1.0,5.1,"1,046",tt15829632,,,,,
Under the Helmet: The Legacy of Boba Fett,2021,TV-PG,12 Nov 2021,21,Documentary,"Bradford Burah, Brian Kwan",,"Reba Buhr, Jeremy Bulloch, Maureen Bulloch",English,United States,,-1.0,7.2,"1,294",tt15715890,,,,,
Willow!!!!,2021,G,14 Jul 2021,-1,Short|Comedy,Marg Haynes,Marg Haynes,"Willow Alderton, Zac Blades, Audrey Brodie",English,Australia,,-1.0,-1.0,-1,tt13885686,,,,,
Alvin and the Chipmunks: Chipwrecked,2011,G,16 Dec 2011,87,Animation|Adventure|Comedy,Mike Mitchell,"Jonathan Aibel, Glenn Berger, Ross Bagdasarian","Justin Long, Matthew Gray Gubler, Jesse McCartney",English,United States,2 wins & 1 nomination,24.0,4.3,"34,568",tt1615918,91671.0,Alvin and the Chipmunks: Chipwrecked (2011),Animation|Comedy,Alvin and the Chipmunks: Chipwrecked,2011.0
Jingle All the Way,1996,PG,22 Nov 1996,89,Adventure|Comedy|Family,Brian Levant,Randy Kornfield,"Arnold Schwarzenegger, Sinbad, Phil Hartman",English,United States,2 wins & 4 nominations,34.0,5.7,"102,863",tt0116705,1359.0,Jingle All the Way (1996),Children|Comedy,Jingle All the Way,1996.0
Jingle All the Way 2,2014,PG,02 Dec 2014,93,Comedy|Family,Alex Zamm,"Randy Kornfield (based on ""Jingle All the Way"" written by), Stephen Mazur","Larry the Cable Guy, Brian Stepanek, Anthony Carelli, Kennedi Clements",English,USA,,-1.0,3.9,"2,049",tt3486392,118684.0,Jingle All the Way 2 (2014),Children|Comedy,Jingle All the Way 2,2014.0
Snow Buddies,2008,G,05 Feb 2008,87,Adventure|Family,Robert Vince,"Robert Vince, Anna McRoberts, Kevin DiCicco (character ""Air Bud""), Phil Hanley (additional comedy material), Paul Tamasy (characters), Aaron Mendelsohn (characters)","Jim Belushi, Jimmy Bennett, Lothaire Bluteau, Jason Bryden",English,USA,1 nomination.,-1.0,5.2,"3,741",tt1079448,122039.0,Snow Buddies (2008),Adventure|Children,Snow Buddies,2008.0
Space Buddies,2009,G,03 Feb 2009,84,Adventure|Family|Fantasy|Sci-Fi,Robert Vince,"Kevin DiCicco (character ""Air Bud""), Robert Vince, Anna McRoberts, Phil Hanley (additional comedy material), Paul Tamasy (characters), Aaron Mendelsohn (characters)","F.T. Anderson, Diedrich Bader, Field Cate, Kendall Cross",English,"USA, Canada",,-1.0,4.3,"2,423",tt1164647,121007.0,Space Buddies (2009),Adventure|Children|Fantasy|Sci-Fi,Space Buddies,2009.0
The Search for Santa Paws,2010,G,23 Nov 2010,96,Adventure|Drama|Family|Fantasy|Musical,Robert Vince,"Robert Vince, Anna McRoberts, Paul Tamasy (characters)","Kaitlyn Maher, Madison Pettis, Richard Riehle, Danny Woodburn",English,Canada,1 nomination.,-1.0,5.4,"2,437",tt1544572,122519.0,The Search for Santa Paws (2010),Adventure|Children,The Search for Santa Paws,2010.0
X-Men: First Class,2011,PG-13,03 Jun 2011,131,Action|Adventure|Sci-Fi,Matthew Vaughn,"Ashley Miller, Zack Stentz, Jane Goldman","James McAvoy, Michael Fassbender, Jennifer Lawrence","English, German, French, Spanish, Russian","United States, United Kingdom",21 wins & 39 nominations,65.0,7.7,"674,447",tt1270798,87232.0,X-Men: First Class (2011),Action|Adventure|Sci-Fi|Thriller|War,X-Men: First Class,2011.0
Photo Ark,2017,TV-PG,18 Jul 2017,60,Documentary,,,Joel Sartore,English,United States,,-1.0,8.2,59,tt7181320,,,,,
Storm Rising,2021,G,03 Oct 2021,-1,Reality-TV,,,"Reed Timmer, Mike Theiss",English,United States,,-1.0,7.8,61,tt15681488,,,,,
Rookie of the Year,1993,PG,07 Jul 1993,103,Comedy|Family|Fantasy,Daniel Stern,Sam Harper,"Thomas Ian Nicholas, Gary Busey, Albert Hall",English,United States,1 win & 1 nomination,53.0,6.0,"27,625",tt0107985,5102.0,Rookie of the Year (1993),Comedy|Fantasy,Rookie of the Year,1993.0
Thumbelina,1994,G,30 Mar 1994,86,Animation|Adventure|Family,"Don Bluth, Gary Goldman","Hans Christian Andersen, Don Bluth","Jodi Benson, Gary Imhoff, Gino Conforti",English,"Ireland, United States",1 nomination,-1.0,6.4,"16,881",tt0111419,2876.0,Thumbelina (1994),Animation|Children|Fantasy,Thumbelina,1994.0
PJ Masks,2015,TV-Y,18 Sep 2015,24,Animation|Action|Adventure,,,"Addison Holley, Kyle Breitkopf, Juan Luis Bonilla","French, English, Spanish","France, United Kingdom",2 wins & 6 nominations,-1.0,5.5,"1,189",tt4148744,,,,,
The Wild Life of Dr. Ole,2021,G,17 Jan 2021,-1,Reality-TV,,,"Ole Alcumbrac, Andy Barnett",English,United States,,-1.0,-1.0,19,tt14232200,,,,,
Apollo: Back to the Moon,2019,G,06 Jul 2019,-1,Documentary|History,François Pomès,François Pomès,"Bill Anders, Jay Barbree, Jack Clemons","French, English",France,,-1.0,6.8,50,tt8781928,,,,,
Just Beyond,2021,TV-PG,13 Oct 2021,-1,Comedy|Drama|Fantasy,,Seth Grahame-Smith,"Mckenna Grace, Izabela Vidovic, Malcolm Barrett",English,United States,1 nomination,-1.0,6.2,"1,333",tt12286434,,,,,
Secrets of the Zoo: Down Under,2020,G,01 Mar 2020,-1,Documentary,,,Naomi Watts,English,United States,,-1.0,-1.0,12,tt15313408,,,,,
Secrets of the Zoo: North Carolina,2020,G,30 Oct 2020,44,Reality-TV,,,Jb Minter,English,United States,,-1.0,7.8,38,tt13528684,,,,,
Zombies: Addison's Moonstone Mystery: Feelin' the Power,2020,G,04 Dec 2020,2,Short|Music,,,"Meg Donnelly, Pearce Joza, Chandler Kinney",English,United States,,-1.0,-1.0,-1,tt15379964,,,,,
Muppets Haunted Mansion,2021,TV-PG,08 Oct 2021,52,Adventure|Comedy|Family,Kirk R. Thatcher,"Bill Barretta, Kirk R. Thatcher, Kelly Younger","Will Arnett, Taraji P. Henson, Darren Criss",English,United States,2 nominations,-1.0,6.4,"6,059",tt14602326,,,,,
The Most Magical Story on Earth: 50 Years of Walt Disney World,2021,TV-PG,01 Oct 2021,74,Documentary|Music|Musical,James B. Merryman,,"Whoopi Goldberg, Christina Aguilera, Chris Connelly",English,United States,,-1.0,-1.0,92,tt15534640,,,,,
Under Wraps,2021,G,,14,Short|Drama,Bailey Walker,Bailey Walker,"Harvey Almond, Joseph Kwame Bentil, Kashmir Leese",English,United Kingdom,,-1.0,-1.0,-1,tt12809928,192399.0,,Children|Comedy|Horror,,
Among the Stars,2021,TV-PG,06 Oct 2021,-1,Documentary,,,"Chris Cassidy, Luca Parmitano, Brian Mader",English,United States,,-1.0,7.8,212,tt15428794,,,,,
Fauci,2021,PG-13,10 Sep 2021,104,Documentary|Biography|History,"John Hoffman, Janet Tobias",,"Bono, George W. Bush, Francis Collins",English,United States,3 nominations,70.0,6.2,"12,280",tt13984924,,,,,
National Geographic Presents: Impact with Gal Gadot,2021,TV-14,19 Apr 2021,-1,Documentary,,,Gal Gadot,English,United States,1 win & 1 nomination,-1.0,5.3,86,tt14376656,,,,,
The Ghost and Molly McGee,2021,TV-Y7,01 Oct 2021,31,Animation|Short|Adventure,,"Bill Motz, Bob Roth","Ashly Burch, Dana Snyder, Michaela Dietz",English,United States,1 nomination,-1.0,7.3,686,tt10684374,,,,,
Alvin and the Chipmunks,2007,PG,14 Dec 2007,92,Animation|Adventure|Comedy,Tim Hill,"Jon Vitti, Will McRobb, Chris Viscardi","Jason Lee, Ross Bagdasarian Jr., Janice Karman","English, French, Spanish, Japanese",United States,3 wins & 2 nominations,39.0,5.2,"82,982",tt0952640,56176.0,Alvin and the Chipmunks (2007),Children|Comedy,Alvin and the Chipmunks,2007.0
Alvin and the Chipmunks: The Road Chip,2015,PG,18 Dec 2015,92,Animation|Adventure|Comedy,Walt Becker,"Ross Bagdasarian, Janice Karman, Randi Mayem Singer","Jason Lee, Justin Long, Matthew Gray Gubler","English, Spanish",United States,1 win & 4 nominations,33.0,5.0,"19,084",tt2974918,158428.0,Alvin and the Chipmunks: The Road Chip (2015),Adventure|Animation|Children|Comedy,Alvin and the Chipmunks: The Road Chip,2015.0
Disney's Magic Bake-Off,2021,G,13 Aug 2021,-1,Family|Game-Show|Reality-TV,,,"Dara Renee, Issac Ryan Brown, Graciela Gomez",,United States,,-1.0,5.8,65,tt14539670,,,,,
Octonauts & the Great Barrier Reef,2020,G,13 Oct 2020,47,Animation|Action|Adventure,Blair Simmons,"Vicki Wong, Michael Murphy, Stephanie Simpson","Paul Buckley, Simon Foster, Teresa Gallagher",English,United Kingdom,,-1.0,7.3,127,tt13150606,,,,,
Disney Junior Ready for Preschool,2019,G,19 Oct 2019,-1,Family,,,,English,United States,,-1.0,-1.0,-1,tt13689142,,,,,
Rolie Polie Olie,1998,TV-Y,04 Oct 1998,24,Animation|Comedy|Family,,William Joyce,"Cole Caplan, Adrian Truss, Kristen Bone",English,"Canada, United States, France",8 wins & 7 nominations,-1.0,6.4,"2,793",tt0172049,,,,,
Star Wars: Galaxy of Sounds,2021,G,29 Sep 2021,-1,Sci-Fi,,,,English,United States,1 nomination,-1.0,7.1,212,tt15516280,,,,,
The Hatcher Family Dairy,2021,G,11 Jul 2021,-1,Documentary,,,"Charles Hatcher, Jennifer Hatcher, Sharon Hatcher",English,United States,,-1.0,8.8,48,tt15058696,,,,,
The Simpsons,1989,TV-PG,17 Dec 1989,22,Animation|Comedy,,"James L. Brooks, Matt Groening, Sam Simon","Dan Castellaneta, Nancy Cartwright, Harry Shearer",English,United States,Won 35 Primetime Emmys. 178 wins & 340 nominations total,-1.0,8.6,"391,847",tt0096697,,,,,
A Spark Story,2021,TV-G,24 Sep 2021,87,Documentary|Animation,"Leanne Dare, Jason Sterman",,"Aphton Corbin, Pete Docter, Louis Gonzales",English,United States,,-1.0,-1.0,108,tt11963126,,,,,
Spooky Buddies,2011,G,20 Sep 2011,88,Family|Fantasy,Robert Vince,"Kevin DiCicco (character ""Air Bud"" created by), Robert Vince, Anna McRoberts, Paul Tamasy (characters created by), Aaron Mendelsohn (characters created by)","Tucker Albrizzi, Diedrich Bader, Ameko Eks Mass Carroll, Max Charles",English,"USA, Canada",1 win.,-1.0,4.6,"1,719",tt1792131,122521.0,Spooky Buddies (2011),Children|Comedy,Spooky Buddies,2011.0
The Fault in Our Stars,2014,PG-13,06 Jun 2014,126,Drama|Romance,Josh Boone,"Scott Neustadter, Michael H. Weber, John Green","Shailene Woodley, Ansel Elgort, Nat Wolff",English,United States,21 wins & 17 nominations,69.0,7.7,"366,965",tt2582846,111921.0,The Fault in Our Stars (2014),Drama|Romance,The Fault in Our Stars,2014.0
Dog: Impossible,2019,G,08 Sep 2019,-1,Reality-TV,,,Matt Beisner,,United States,,-1.0,7.7,118,tt10981266,,,,,
Spidey and His Amazing Friends,2021,TV-Y7,06 Aug 2021,-1,Animation|Action|Adventure,,,"Benjamin Valic, Jakari Fraser, Lily Sanfelippo",English,United States,,-1.0,6.2,341,tt10862280,,,,,
Star Wars: Visions,2021,TV-PG,22 Sep 2021,-1,Animation|Action|Adventure,,,"Michael Sinterniklaas, Neil Kaplan, Adam Sietz","English, Japanese","Japan, United States",2 nominations,-1.0,7.1,"14,841",tt13622982,,,,,
Flooded Tombs of the Nile,2021,G,14 Mar 2021,45,Documentary,Katie Bauer Murdock,Katie Bauer Murdock,"Devin E. Haqq, Pearce Paul Creasman, Justin Schneider",English,United States,1 nomination,-1.0,6.5,78,tt15286970,,,,,
Nona,2021,G,17 Sep 2021,8,Animation|Short,Louis Gonzales,Louis Gonzales,Devon Libran,English,United States,1 nomination,-1.0,6.5,634,tt15088994,,,,,
Life Below Zero,2012,G,09 Feb 2012,-1,Documentary,Josh Freed,Josh Freed,,English,Canada,,-1.0,7.3,41,tt2479026,,,,,
Miraculous: Tales of Ladybug & Cat Noir,2015,TV-Y7,20 Dec 2015,20,Animation|Action|Adventure,,,"Cristina Valenzuela, Bryce Papenbrook, Keith Silverstein","Urdu, Hindi, French, Korean, English","France, South Korea, Japan, United States",,-1.0,7.7,"10,134",tt2580046,,,,,
Unknown Waters with Jeremy Wade,2021,G,25 Jul 2021,-1,Adventure,,,Jeremy Wade,English,United States,,-1.0,-1.0,5,tt17890420,,,,,
Twenty Something,2021,PG,10 Sep 2021,8,Animation|Short|Comedy,Aphton Corbin,Aphton Corbin,"Kaylin Price, Ariana Brown, Aliyah Taylor",English,United States,1 nomination,-1.0,7.1,620,tt14023676,,,,,
"Doogie Kamealoha, M.D.",2021,TV-PG,08 Sep 2021,30,Comedy|Drama|Family,,Kourtney Kang,"Peyton Elizabeth Lee, Emma Meisel, Matthew Sato",English,United States,,-1.0,6.5,"1,921",tt12225230,,,,,
"Mira, Royal Detective",2020,TV-Y7,20 Mar 2020,24,Animation|Short|Adventure,,Becca Topol,"Leela Ladnier, Utkarsh Ambudkar, Kal Penn",English,United States,3 nominations,-1.0,6.6,233,tt9357248,,,,,
Pepper Ann,1997,TV-Y,13 Sep 1997,30,Animation|Comedy|Family,,Sue Rose,"Kathleen Wilhoite, Danny Cooksey, April Winchell",,United States,1 nomination,-1.0,7.2,"3,605",tt0128890,,,,,
The Incredible Dr. Pol,2011,TV-PG,29 Oct 2011,44,Documentary|Reality-TV,,"Monica Austin, Jonathan Schroder","Jan Pol, Ari Rubin, Charles Pol",English,United States,,-1.0,8.6,"1,602",tt2136396,,,,,
Happier Than Ever: A Love Letter to Los Angeles,2021,TV-14,03 Sep 2021,65,Music,"Robert Rodriguez, Patrick Osborne",,"Gustavo Dudamel, Billie Eilish, Brady Heiser",English,United States,2 nominations,-1.0,7.2,"1,196",tt15094392,,,,,
X-Men: Dark Phoenix,2019,PG-13,07 Jun 2019,113,Action|Adventure|Sci-Fi,Simon Kinberg,Simon Kinberg,"James McAvoy, Michael Fassbender, Jennifer Lawrence","English, French","United States, Canada",13 nominations,43.0,5.7,"178,049",tt6565702,,,,,
Dug Days,2021,TV-G,01 Sep 2021,-1,Animation|Short|Adventure,,,"Edward Asner, Bob Peterson, Jordan Nagai",English,United States,1 nomination,-1.0,8.1,"3,435",tt13624054,,,,,
Disney Princess Remixed - An Ultimate Princess Celebration,2021,G,27 Aug 2021,30,Documentary|Fantasy|Music,Napoleon Dumo,Rayya Deeb,"Sophia Hammons, Julia Lester, Brandy Norwood",English,United States,,-1.0,5.1,63,tt14993556,,,,,
Marvel One-Shot: All Hail the King,2014,Not-Rated,04 Feb 2014,14,Short|Action|Sci-Fi,Drew Pearce,"Drew Pearce (screenplay), Drew Pearce","Ben Kingsley, Scoot McNairy, Lester Speight, Sam Rockwell",English,USA,,-1.0,7.4,"8,120",tt3438640,165831.0,Marvel One-Shot: All Hail the King (2014),Action|Comedy|Drama|Fantasy|Thriller,Marvel One-Shot: All Hail the King,2014.0
Dr K's Exotic Animal ER,2014,TV-PG,11 Oct 2014,-1,Reality-TV,,,"Josh Goodman, Susan Kelleher, Lauren Thielen",English,United States,,-1.0,8.2,365,tt3986852,,,,,
Life Below Zero: Next Generation,2020,TV-14,07 Sep 2020,-1,Reality-TV,,,"Mocean Melvin, Jessi Morse, Chris Morse",English,United States,,-1.0,5.3,209,tt13049144,,,,,
Eragon,2006,PG,15 Dec 2006,104,Action|Adventure|Family,Stefen Fangmeier,"Peter Buchman, Christopher Paolini","Ed Speleers, Sienna Guillory, Jeremy Irons",English,"United States, United Kingdom, Hungary",1 win & 6 nominations,38.0,5.1,"125,529",tt0449010,49649.0,Eragon (2006),Action|Adventure|Fantasy,Eragon,2006.0
Growing Up Animal,2021,TV-G,18 Aug 2021,-1,Documentary,,,Tracee Ellis Ross,English,United States,,-1.0,8.3,90,tt13891272,,,,,
Fantastic Four,2005,PG-13,08 Jul 2005,106,Action|Adventure|Fantasy,Tim Story,"Mark Frost, Michael France, Stan Lee","Ioan Gruffudd, Michael Chiklis, Chris Evans",English,"United States, Germany",4 wins & 12 nominations,40.0,5.7,"324,230",tt0120667,34150.0,Fantastic Four (2005),Action|Adventure|Sci-Fi,Fantastic Four,2005.0
X-Men,2000,PG-13,14 Jul 2000,104,Action|Adventure|Sci-Fi,Bryan Singer,"Tom DeSanto, Bryan Singer, David Hayter","Patrick Stewart, Hugh Jackman, Ian McKellen",English,United States,13 wins & 26 nominations,64.0,7.4,"600,851",tt0120903,3793.0,X-Men (2000),Action|Adventure|Sci-Fi,X-Men,2000.0
The Chicken Squad,2021,TV-Y,14 May 2021,22,Animation|Short|Adventure,,Tom Rogers,"Ramone Hamilton, Gabriella Graves, Maxwell Simkins",English,United States,,-1.0,6.6,105,tt11204188,,,,,
What If...?,2021,TV-14,11 Aug 2021,-1,Animation|Action|Adventure,,,"Jeffrey Wright, Terri Douglas, Matthew Wood",English,United States,2 wins & 3 nominations,-1.0,7.5,"91,145",tt10168312,,,,,
Beverly Hills Chihuahua 2,2011,G,01 Feb 2011,85,Adventure|Comedy|Family,Alex Zamm,"Dannah Feinglass Phirman, Danielle Schneider, Jeffrey Bushell (characters)","Marcus Coloma, Erin Cahill, Susan Blakely, Lupe Ontiveros",English,USA,,-1.0,4.2,"3,568",tt1482393,,,,,
Beverly Hills Chihuahua 3: Viva La Fiesta!,2012,G,18 Sep 2012,89,Adventure|Comedy|Family,Lev L. Spiro,"Dana Starfield, Jeffrey Bushell (characters)","Marcus Coloma, Erin Cahill, Cedric Yarbrough, Frances Fisher",English,USA,,-1.0,4.4,"1,796",tt2224075,,,,,
Killer Shark vs. Killer Whale,2021,G,15 Jul 2021,44,Documentary,,,,English,United States,,-1.0,6.4,17,tt14811958,,,,,
Cesar Millan: Better Human Better Dog,2021,TV-14,30 Jul 2021,-1,Reality-TV,,,"Cesar Millan, Dustin Rubin",English,United States,,-1.0,8.5,102,tt15083978,,,,,
Garfield,2004,PG,11 Jun 2004,80,Animation|Adventure|Comedy,Peter Hewitt,"Jim Davis, Joel Cohen, Alec Sokolow","Breckin Meyer, Jennifer Love Hewitt, Stephen Tobolowsky",English,United States,1 win & 1 nomination,27.0,5.0,"84,890",tt0356634,,,,,
Chip 'N' Dale: Park Life,2021,TV-G,28 Jul 2021,7,Animation|Short|Adventure,,Kathleen Shugrue,"Matthew Géczy, Kaycie Chase, Bill Farmer",English,"United States, France",,-1.0,5.7,338,tt10516496,,,,,
Critter Fixers: Country Vets,2020,TV-14,07 Mar 2020,-1,Family,,,"Vernard Hodges, Terrence Ferguson",English,United States,,-1.0,8.6,114,tt11929804,,,,,
Mickey Mouse Funhouse,2021,TV-G,16 Jul 2021,-1,Animation|Short|Adventure,,,"Bret Iwan, Kaitlyn Robrock, Tony Anselmo",English,United States,,-1.0,5.1,127,tt13262134,,,,,
Turning the Tables with Robin Roberts,2021,PG,28 Jul 2021,-1,Talk-Show,,,"Robin Roberts, Jenna Dewan, Jamie Lee Curtis",English,United States,,-1.0,6.0,34,tt14598810,,,,,
Ice Age: The Meltdown El Chavo del 8 y animado,2006,G,31 Mar 2006,19,Animation,,,Sebastián Llapur,Spanish,Mexico,,-1.0,-1.0,-1,tt4900218,,,,,
Playing with Sharks: The Valerie Taylor Story,2021,TV-PG,23 Jul 2021,95,Documentary|Adventure,Sally Aitken,Sally Aitken,"Valerie Taylor, Jeremiah S. Sullivan, Rodney Fox",English,United States,5 wins & 9 nominations,78.0,7.6,437,tt11226258,,,,,
Shark vs. Surfer,2020,G,01 Aug 2020,44,Documentary,Phil Stebbing,,"Bill Lloyd, Tomas Auanzini, Chris Bryan",English,United States,,-1.0,6.8,16,tt13161852,,,,,
Shark vs. Whale,2020,TV-PG,28 Jul 2020,45,Documentary,,"Paul Gasek, Mea Trenor","Ryan Johnson, Ted Stewart",English,USA,,-1.0,-1.0,-1,tt12820178,,,,,
Hollywood Bulldogs: The Rise and Falls of the Great British Stuntman,2021,G,19 Jun 2021,105,Documentary,Jon Spira,Jon Spira,"Vic Armstrong, Ray Austin, Jim Dowdall",English,United Kingdom,,-1.0,7.9,57,tt12142914,,,,,
Behind the Attraction,2021,TV-PG,21 Jul 2021,-1,Documentary,,,"Paget Brewster, Dave Durham, Kim Irvine",English,United States,,-1.0,7.7,741,tt11069436,,,,,
Turner & Hooch,2021,TV-PG,21 Jul 2021,-1,Comedy|Crime|Drama,,Matt Nix,"Josh Peck, Carra Patterson, Lyndsy Fonseca",English,United States,,-1.0,6.7,"3,426",tt11547014,4677.0,,Comedy|Crime,,
Secrets of the Bull Shark,2020,G,01 Aug 2020,44,Documentary,,"Jenny Apostal, Mea Trenor","Ryan Daly, Keston John",English,United States,,-1.0,-1.0,6,tt13130602,,,,,
