Title,Year,Rated,Released,Runtime,Awards,Metascore,IMDBRating,imdbVotes,imdbID
African Cats,2011,G,22 Apr 2011,89,3 nominations,61.0,7.5,"6,446",tt1223236
Air Bud,1997,PG,01 Aug 1997,98,4 wins & 3 nominations,-1.0,5.3,"17,633",tt0118570
Aladdin,1992,G,25 Nov 1992,90,Won 2 Oscars. 32 wins & 22 nominations total,86.0,8.0,"395,426",tt0103639
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,PG,10 Oct 2014,81,1 win & 8 nominations,54.0,6.2,"43,628",tt1698641
Alice Through the Looking Glass,2016,PG,27 May 2016,113,4 wins & 20 nominations,34.0,6.2,"103,895",tt2567026
Alice in Wonderland,2010,PG,05 Mar 2010,108,Won 2 Oscars. 35 wins & 63 nominations total,53.0,6.4,"403,595",tt1014759
Aliens of the Deep,2005,G,25 Aug 2005,100,NA,71.0,6.4,"2,996",tt0417415
Alive,1993,R,15 Jan 1993,120,1 win & 1 nomination,56.0,7.1,"54,692",tt0106246
Amy,1981,G,20 Mar 1981,100,2 nominations,-1.0,6.6,458,tt0082017
An American Werewolf in Paris,1997,R,25 Dec 1997,98,3 wins & 1 nomination,31.0,5.1,"24,800",tt0118604
An Innocent Man,1989,R,06 Oct 1989,113,NA,39.0,6.5,"6,813",tt0097579
Angels in the Outfield,1994,PG,15 Jul 1994,102,1 win & 4 nominations,44.0,6.2,"31,482",tt0109127
Angie,1994,R,04 Mar 1994,107,1 nomination,-1.0,5.5,"2,193",tt0109129
Annapolis,2006,PG-13,27 Jan 2006,108,NA,37.0,5.8,"21,020",tt0417433
Another Stakeout,1993,PG-13,23 Jul 1993,108,1 nomination,53.0,5.6,"13,970",tt0106292
Ant-Man,2015,PG-13,17 Jul 2015,117,Nominated for 1 BAFTA Film Award4 wins & 34 nominations total,64.0,7.3,"635,594",tt0478970
Ant-Man and the Wasp,2018,PG-13,06 Jul 2018,118,2 wins & 21 nominations,70.0,7.0,"373,149",tt5095030
Apocalypto,2006,R,08 Dec 2006,139,Nominated for 3 Oscars. 9 wins & 23 nominations total,68.0,7.8,"306,157",tt0472043
Arachnophobia,1990,PG-13,18 Jul 1990,109,2 wins & 5 nominations,67.0,6.5,"68,662",tt0099052
Armageddon,1998,PG-13,01 Jul 1998,151,Nominated for 4 Oscars. 15 wins & 40 nominations total,42.0,6.7,"416,798",tt0120591
Around the World in 80 Days,2004,PG,16 Jun 2004,120,2 wins & 2 nominations,49.0,5.8,"88,965",tt0327437
Aspen Extreme,1993,PG-13,22 Jan 1993,113,NA,32.0,6.0,"2,931",tt0106315
Atlantis: The Lost Empire,2001,PG,15 Jun 2001,95,2 wins & 14 nominations,52.0,6.9,"115,183",tt0230011
Avengers: Age of Ultron,2015,PG-13,01 May 2015,141,8 wins & 51 nominations,66.0,7.3,"823,277",tt2395427
Avengers: Endgame,2019,PG-13,26 Apr 2019,181,Nominated for 1 Oscar. 70 wins & 132 nominations total,78.0,8.4,"1,030,512",tt4154796
Avengers: Infinity War,2018,PG-13,27 Apr 2018,149,Nominated for 1 Oscar. 46 wins & 79 nominations total,68.0,8.4,"995,851",tt4154756
Babes in Toyland,1961,Approved,14 Dec 1961,106,Nominated for 2 Oscars. 1 win & 6 nominations total,55.0,6.2,"4,145",tt0054649
Baby: Secret of the Lost Legend,1985,PG,22 Mar 1985,95,1 nomination,-1.0,5.1,"3,292",tt0088760
Bad Company,1995,R,20 Jan 1995,108,NA,-1.0,5.4,"3,044",tt0112443
Beaches,1988,PG-13,13 Jan 1989,123,Nominated for 1 Oscar. 1 win & 6 nominations total,46.0,7.0,"25,694",tt0094715
Bears,2014,G,18 Apr 2014,78,2 nominations,68.0,7.3,"6,748",tt2458776
Beauty and the Beast,1991,G,22 Nov 1991,84,Won 2 Oscars. 31 wins & 32 nominations total,95.0,8.1,"438,320",tt0101414
Bedknobs and Broomsticks,1971,G,13 Dec 1971,117,Won 1 Oscar. 2 wins & 5 nominations total,59.0,7.1,"36,809",tt0066817
Bedtime Stories,2008,PG,25 Dec 2008,99,3 wins & 5 nominations,33.0,6.0,"93,537",tt0960731
Before and After,1996,PG-13,23 Feb 1996,108,NA,-1.0,6.1,"8,936",tt0115645
Beloved,1998,R,16 Oct 1998,172,Nominated for 1 Oscar. 3 wins & 24 nominations total,57.0,6.0,"8,945",tt0120603
Benji the Hunted,1987,G,19 Jun 1987,88,1 win & 1 nomination,53.0,6.2,"3,057",tt0092638
Betsy's Wedding,1990,R,22 Jun 1990,94,3 nominations,52.0,5.6,"3,716",tt0099128
Beverly Hills Chihuahua,2008,PG,03 Oct 2008,91,3 wins & 6 nominations,41.0,3.8,"24,030",tt1014775
Bicentennial Man,1999,PG,17 Dec 1999,132,Nominated for 1 Oscar. 2 wins & 8 nominations total,42.0,6.9,"115,697",tt0182789
Big Business,1988,PG,10 Jun 1988,97,1 win & 1 nomination,53.0,6.5,"13,753",tt0094739
Big Hero 6,2014,PG,07 Nov 2014,102,Won 1 Oscar. 17 wins & 58 nominations total,74.0,7.8,"444,512",tt2245084
Big Trouble,2002,PG-13,05 Apr 2002,85,NA,47.0,6.5,"20,553",tt0246464
Billy Bathgate,1991,R,01 Nov 1991,106,3 nominations,-1.0,5.9,"11,909",tt0101453
Black Panther,2018,PG-13,16 Feb 2018,134,Won 3 Oscars. 115 wins & 281 nominations total,88.0,7.3,"713,245",tt1825683
Black Widow,2021,PG-13,09 Jul 2021,134,8 wins & 28 nominations,67.0,6.7,"343,512",tt3480822
Blackbeard's Ghost,1968,Approved,08 Feb 1968,106,NA,71.0,6.8,"5,906",tt0062737
Blame It on the Bellboy,1992,PG-13,06 Mar 1992,78,NA,-1.0,5.5,"2,668",tt0103827
Blank Check,1994,PG,11 Feb 1994,93,NA,42.0,5.3,"20,353",tt0109287
Blaze,1989,R,13 Dec 1989,120,Nominated for 1 Oscar. 1 win & 3 nominations total,67.0,6.0,"3,874",tt0096943
Bolt,2008,PG,21 Nov 2008,96,Nominated for 1 Oscar. 1 win & 32 nominations total,67.0,6.9,"204,674",tt0397892
Bon Voyage!,1962,Not Rated,17 May 1962,130,Nominated for 2 Oscars. 2 nominations total,-1.0,5.7,666,tt0055807
Born Yesterday,1993,PG,26 Mar 1993,100,1 nomination,-1.0,5.2,"3,928",tt0106466
Born in China: Wading Through Wetlands,2017,NA,29 Aug 2017,-1,NA,-1.0,-1.0,-1,tt11155970
Boys,1996,PG-13,10 May 1996,86,NA,-1.0,4.9,"3,662",tt0115742
Brave,2012,PG,22 Jun 2012,93,Won 1 Oscar. 20 wins & 48 nominations total,69.0,7.1,"398,727",tt1217209
Breakfast of Champions,1999,R,18 Feb 1999,110,1 nomination,42.0,4.6,"7,930",tt0120618
Bridge of Spies,2015,PG-13,16 Oct 2015,142,Won 1 Oscar. 30 wins & 103 nominations total,81.0,7.6,"305,239",tt3682448
Bridge to Terabithia,2007,PG,16 Feb 2007,96,6 wins & 5 nominations,74.0,7.2,"152,975",tt0398808
Bringing Down the House,2003,PG-13,07 Mar 2003,105,4 wins & 13 nominations,39.0,5.6,"36,744",tt0305669
Brother Bear,2003,G,01 Nov 2003,85,Nominated for 1 Oscar. 2 wins & 22 nominations total,48.0,6.8,"106,674",tt0328880
Bubble Boy,2001,PG-13,24 Aug 2001,84,1 nomination,41.0,5.7,"32,962",tt0258470
Cabin Boy,1994,PG-13,07 Jan 1994,80,2 nominations,21.0,5.3,"8,597",tt0109361
Calendar Girls,2003,PG-13,01 Jan 2004,108,2 wins & 16 nominations,60.0,6.9,"26,050",tt0337909
Camp Nowhere,1994,PG,26 Aug 1994,96,NA,-1.0,6.0,"9,615",tt0109369
Can't Buy Me Love,1987,PG-13,14 Aug 1987,94,1 win & 3 nominations,36.0,6.8,"36,209",tt0092718
Captain America: Civil War,2016,PG-13,06 May 2016,147,16 wins & 73 nominations,75.0,7.8,"745,441",tt3498820
Captain America: The Winter Soldier,2014,PG-13,04 Apr 2014,136,Nominated for 1 Oscar. 5 wins & 52 nominations total,70.0,7.8,"809,284",tt1843866
Captain Marvel,2019,PG-13,08 Mar 2019,123,9 wins & 56 nominations,64.0,6.8,"525,805",tt4154664
Captain Ron,1992,PG-13,18 Sep 1992,100,2 nominations,39.0,5.8,"21,362",tt0103924
Cars,2006,G,09 Jun 2006,117,Nominated for 2 Oscars. 28 wins & 34 nominations total,73.0,7.1,"402,283",tt0317219
Cars 2,2011,G,24 Jun 2011,106,1 win & 19 nominations,57.0,6.2,"179,255",tt1216475
Cars 3,2017,G,16 Jun 2017,102,1 win & 24 nominations,59.0,6.7,"91,875",tt3606752
Casanova,2005,R,06 Jan 2006,112,5 wins & 3 nominations,57.0,6.5,"53,900",tt0402894
Celtic Pride,1996,PG-13,19 Apr 1996,91,NA,-1.0,5.3,"10,016",tt0115851
Cheetah,1989,G,18 Aug 1989,83,1 nomination,-1.0,5.9,"1,039",tt0097053
Chicken Little,2005,G,04 Nov 2005,81,4 wins & 15 nominations,48.0,5.7,"90,797",tt0371606
Chimpanzee,2012,G,20 Apr 2012,78,2 nominations,57.0,7.2,"6,125",tt1222815
Christopher Robin,2018,PG,03 Aug 2018,104,Nominated for 1 Oscar. 2 wins & 13 nominations total,60.0,7.2,"75,593",tt4575576
Cinderella,1950,G,04 Mar 1950,74,Nominated for 3 Oscars. 6 wins & 7 nominations total,85.0,7.3,"155,521",tt0042332
Cocktail,1988,R,29 Jul 1988,104,5 wins & 6 nominations,12.0,5.9,"83,740",tt0094889
Coco,2017,PG,22 Nov 2017,105,Won 2 Oscars. 109 wins & 40 nominations total,81.0,8.4,"469,282",tt2380307
Cold Creek Manor,2003,R,19 Sep 2003,118,1 nomination,37.0,5.0,"22,532",tt0331468
College Road Trip,2008,G,07 Mar 2008,83,1 nomination,36.0,4.3,"15,991",tt0997047
Color of Night,1994,R,19 Aug 1994,121,2 wins & 11 nominations,36.0,5.2,"23,822",tt0109456
Con Air,1997,R,06 Jun 1997,115,Nominated for 2 Oscars. 7 wins & 11 nominations total,52.0,6.9,"292,115",tt0118880
Condorman,1981,PG,07 Aug 1981,90,NA,46.0,5.7,"4,862",tt0082199
Confessions of a Shopaholic,2009,PG,13 Feb 2009,104,1 win & 3 nominations,38.0,5.9,"77,344",tt1093908
Confessions of a Teenage Drama Queen,2004,PG,20 Feb 2004,89,1 win,33.0,4.6,"28,929",tt0361467
Consenting Adults,1992,R,16 Oct 1992,99,1 nomination,39.0,5.7,"7,446",tt0104006
Cool Runnings,1993,PG,01 Oct 1993,98,2 wins & 2 nominations,60.0,7.0,"101,823",tt0106611
Corky Romano,2001,PG-13,12 Oct 2001,86,1 nomination,20.0,4.7,"13,077",tt0250310
Country,1984,PG,29 Sep 1984,105,Nominated for 1 Oscar. 1 win & 3 nominations total,-1.0,6.7,"2,027",tt0087091
Coyote Ugly,2000,PG-13,04 Aug 2000,100,4 wins & 8 nominations,27.0,5.7,"112,461",tt0200550
Cradle Will Rock,1999,R,21 Jan 2000,132,5 wins & 7 nominations,64.0,6.8,"9,207",tt0150216
Crimson Tide,1995,R,12 May 1995,116,Nominated for 3 Oscars. 5 wins & 9 nominations total,66.0,7.3,"110,471",tt0112740
Cruella,2021,PG-13,28 May 2021,134,Nominated for 2 Oscars. 23 wins & 39 nominations total,59.0,7.4,"214,255",tt3228774
D.O.A.,1988,R,18 Mar 1988,96,NA,-1.0,6.2,"10,175",tt0094933
D2: The Mighty Ducks,1994,PG,25 Mar 1994,106,NA,-1.0,6.1,"39,872",tt0109520
D3: The Mighty Ducks,1996,PG,04 Oct 1996,104,2 nominations,-1.0,5.4,"26,748",tt0116000
Dan in Real Life,2007,PG-13,26 Oct 2007,98,4 nominations,65.0,6.8,"101,800",tt0480242
Dangerous Minds,1995,R,11 Aug 1995,99,6 wins & 8 nominations,47.0,6.5,"51,952",tt0112792
Dark Water,2005,PG-13,08 Jul 2005,105,6 nominations,52.0,5.6,"61,886",tt0382628
Dead Poets Society,1989,PG,09 Jun 1989,128,Won 1 Oscar. 20 wins & 19 nominations total,79.0,8.1,"467,597",tt0097165
Dead Presidents,1995,R,06 Oct 1995,119,2 nominations,-1.0,6.9,"21,805",tt0112819
Deceived,1991,PG-13,27 Sep 1991,104,NA,-1.0,6.1,"7,247",tt0101694
Deep Rising,1998,R,30 Jan 1998,106,2 nominations,-1.0,6.1,"36,552",tt0118956
Delivery Man,2013,PG-13,22 Nov 2013,105,NA,44.0,6.3,"78,141",tt2387559
Deuce Bigalow: Male Gigolo,1999,R,10 Dec 1999,88,2 nominations,30.0,5.7,"74,314",tt0205000
Dick Tracy,1990,PG,15 Jun 1990,105,Won 3 Oscars. 9 wins & 36 nominations total,68.0,6.1,"60,838",tt0099422
Dinosaur,2000,PG,19 May 2000,82,4 wins & 21 nominations,56.0,6.4,"59,069",tt0130623
Disorganized Crime,1989,R,14 Apr 1989,98,NA,-1.0,6.3,"2,314",tt0097211
Doctor Strange,2016,PG-13,04 Nov 2016,115,Nominated for 1 Oscar. 20 wins & 68 nominations total,72.0,7.5,"685,849",tt1211837
Double Take,2001,PG-13,12 Jan 2001,88,NA,25.0,5.4,"8,387",tt0238948
Doug's 1st Movie,1999,G,26 Mar 1999,77,1 nomination,-1.0,5.0,"3,221",tt0187819
Down and Out in Beverly Hills,1986,R,31 Jan 1986,103,1 win & 5 nominations,82.0,6.2,"18,389",tt0090966
Duets,2000,R,15 Sep 2000,112,1 nomination,40.0,6.1,"9,550",tt0134630
Dumbo,2019,PG,29 Mar 2019,112,3 wins & 13 nominations,51.0,6.3,"73,048",tt3861390
Déjà Vu,2006,NA,19 Mar 2006,-1,NA,-1.0,7.8,5,tt5649074
Earth,2009,NA,05 Sep 2009,40,NA,-1.0,6.9,10,tt1757737
Ed Wood,1994,R,07 Oct 1994,127,Won 2 Oscars. 27 wins & 34 nominations total,70.0,7.9,"173,323",tt0109707
Eddie,1996,PG-13,31 May 1996,100,1 win & 2 nominations,-1.0,5.2,"10,953",tt0116168
Eight Below,2006,PG,17 Feb 2006,120,2 wins & 2 nominations,64.0,7.3,"64,146",tt0397313
Encanto,2021,PG,24 Nov 2021,102,Nominated for 3 Oscars. 11 wins & 91 nominations total,75.0,7.3,"151,991",tt2953050
Enchanted,2007,PG,21 Nov 2007,107,Nominated for 3 Oscars. 12 wins & 51 nominations total,75.0,7.1,"193,620",tt0461770
Encino Man,1992,PG,22 May 1992,88,1 win & 1 nomination,25.0,5.8,"39,656",tt0104187
Enemy of the State,1998,R,20 Nov 1998,132,5 wins & 16 nominations,67.0,7.3,"238,957",tt0120660
Ernest Goes to Camp,1987,PG,22 May 1987,92,1 nomination,24.0,5.5,"11,450",tt0092974
Ernest Goes to Jail,1990,PG,06 Apr 1990,81,NA,40.0,5.4,"9,416",tt0099512
Ernest Saves Christmas,1988,PG,11 Nov 1988,95,NA,44.0,5.7,"11,383",tt0095107
Ernest Scared Stupid,1991,PG,11 Oct 1991,91,NA,38.0,5.8,"11,476",tt0101821
Eternals,2021,PG-13,05 Nov 2021,156,4 wins & 14 nominations,52.0,6.4,"273,637",tt9032400
Evita,1996,PG,10 Jan 1997,135,Won 1 Oscar. 19 wins & 43 nominations total,45.0,6.3,"35,395",tt0116250
Fantasia,1940,G,19 Sep 1941,125,Won 2 Oscars. 8 wins & 1 nomination total,96.0,7.7,"94,045",tt0032455
Father Hood,1993,PG-13,27 Aug 1993,95,NA,-1.0,4.9,"3,141",tt0106877
Father of the Bride,1991,PG,20 Dec 1991,105,1 win & 5 nominations,51.0,6.5,"74,229",tt0101862
Father of the Bride Part II,1995,PG,08 Dec 1995,106,1 win & 2 nominations,49.0,6.0,"37,331",tt0113041
Feast of July,1995,R,13 Oct 1995,116,NA,-1.0,6.2,565,tt0113044
Finding Dory,2016,PG,17 Jun 2016,97,Nominated for 1 BAFTA Film Award17 wins & 46 nominations total,77.0,7.3,"265,113",tt2277860
Finding Nemo,2003,G,30 May 2003,100,Won 1 Oscar. 48 wins & 63 nominations total,90.0,8.1,"1,010,795",tt0266543
Fire Birds,1990,PG-13,25 May 1990,85,NA,31.0,4.8,"6,380",tt0099575
First Kid,1996,PG,30 Aug 1996,101,1 nomination,48.0,5.2,"10,869",tt0116311
Flight of the Navigator,1986,PG,01 Aug 1986,90,4 nominations,64.0,6.9,"47,370",tt0091059
Flightplan,2005,PG-13,23 Sep 2005,98,2 wins & 6 nominations,53.0,6.3,"160,018",tt0408790
Flubber,1997,PG,26 Nov 1997,93,3 wins & 2 nominations,37.0,5.3,"88,306",tt0119137
"Frank McKlusky, C.I.",2002,PG-13,27 Jun 2002,83,NA,-1.0,4.1,"1,388",tt0281865
Frankenweenie,2012,PG,05 Oct 2012,87,Nominated for 1 Oscar. 11 wins & 50 nominations total,74.0,6.9,"105,079",tt1142977
Freaky Friday,2003,PG,06 Aug 2003,97,5 wins & 11 nominations,70.0,6.2,"134,476",tt0322330
Fright Night,2011,R,19 Aug 2011,106,2 wins & 8 nominations,64.0,6.4,"104,571",tt1438176
Frozen,2013,PG,27 Nov 2013,102,Won 2 Oscars. 82 wins & 60 nominations total,75.0,7.5,"607,860",tt2294629
Frozen II,2019,PG,22 Nov 2019,103,Nominated for 1 Oscar. 17 wins & 90 nominations total,64.0,6.8,"162,644",tt4520988
Funny Bones,1995,R,31 Mar 1995,128,8 wins,-1.0,6.8,"3,713",tt0113133
G-Force,2009,PG,24 Jul 2009,88,1 win & 1 nomination,41.0,5.1,"45,666",tt0436339
G.I. Jane,1997,R,22 Aug 1997,125,2 wins & 3 nominations,62.0,6.0,"79,447",tt0119173
George of the Jungle,1997,PG,16 Jul 1997,92,1 win & 3 nominations,53.0,5.5,"76,087",tt0119190
Ghosts of the Abyss,2003,G,10 Sep 2003,61,1 nomination,67.0,6.8,"5,374",tt0297144
Glory Road,2006,PG,13 Jan 2006,118,5 nominations,58.0,7.2,"45,390",tt0385726
Gone Fishin',1997,PG,30 May 1997,94,1 nomination,-1.0,4.8,"9,971",tt0119214
Gone in 60 Seconds,2000,PG-13,09 Jun 2000,118,9 wins & 6 nominations,35.0,6.5,"273,455",tt0187078
"Good Morning, Vietnam",1987,R,15 Jan 1988,121,Nominated for 1 Oscar. 7 wins & 4 nominations total,67.0,7.3,"137,080",tt0093105
Green Card,1990,PG-13,01 Feb 1991,107,Nominated for 1 Oscar. 3 wins & 4 nominations total,58.0,6.2,"24,125",tt0099699
Gross Anatomy,1989,PG-13,20 Oct 1989,109,NA,-1.0,6.2,"3,841",tt0097458
Grosse Pointe Blank,1997,R,11 Apr 1997,107,2 wins & 8 nominations,76.0,7.3,"93,149",tt0119229
Guardians of the Galaxy,2014,PG-13,01 Aug 2014,121,Nominated for 2 Oscars. 52 wins & 102 nominations total,76.0,8.1,"1,131,146",tt2015381
Guardians of the Galaxy Vol. 2,2017,PG-13,05 May 2017,136,Nominated for 1 Oscar. 15 wins & 59 nominations total,67.0,7.6,"641,226",tt3896198
Guilty as Sin,1993,R,04 Jun 1993,107,1 win,-1.0,5.6,"5,286",tt0107057
Gun Shy,2000,R,09 Mar 2000,101,NA,42.0,5.6,"7,412",tt0171356
Hannah Montana: The Movie,2009,G,10 Apr 2009,102,6 wins & 10 nominations,47.0,4.6,"41,849",tt1114677
He Got Game,1998,R,01 May 1998,136,10 nominations,64.0,6.9,"47,287",tt0124718
Heartbreak Hotel,1988,PG-13,30 Sep 1988,97,2 nominations,-1.0,5.7,"1,380",tt0095288
Hello Again,1987,PG,06 Nov 1987,96,1 nomination,-1.0,5.3,"3,450",tt0093175
Herbie Goes to Monte Carlo,1977,G,24 Jun 1977,105,NA,38.0,5.7,"7,357",tt0076137
Herbie Fully Loaded,2005,G,22 Jun 2005,101,2 wins & 6 nominations,47.0,4.9,"47,299",tt0400497
Hercules,1997,G,27 Jun 1997,93,Nominated for 1 Oscar. 9 wins & 16 nominations total,74.0,7.3,"223,164",tt0119282
Hidalgo,2004,PG-13,05 Mar 2004,136,1 win & 2 nominations,54.0,6.7,"80,973",tt0317648
High Fidelity,2000,R,31 Mar 2000,113,Nominated for 1 BAFTA Film Award3 wins & 22 nominations total,79.0,7.5,"177,106",tt0146882
High Heels and Low Lifes,2001,R,26 Oct 2001,86,1 nomination,39.0,6.2,"3,542",tt0253126
High School Musical 3: Senior Year,2008,G,24 Oct 2008,112,8 wins & 9 nominations,57.0,4.9,"61,618",tt0962726
Hocus Pocus,1993,PG,16 Jul 1993,96,2 wins & 11 nominations,43.0,6.9,"119,734",tt0107120
Holes,2003,PG,18 Apr 2003,117,3 wins & 9 nominations,71.0,7.0,"85,524",tt0311289
Holy Man,1998,PG,09 Oct 1998,114,1 nomination,41.0,4.9,"19,964",tt0120701
Holy Matrimony,1994,PG-13,08 Apr 1994,93,NA,-1.0,5.1,"1,496",tt0110044
Home on the Range,2004,PG,02 Apr 2004,76,5 nominations,50.0,5.4,"22,502",tt0299172
Homeward Bound: The Incredible Journey,1993,G,12 Feb 1993,84,1 nomination,-1.0,7.0,"45,727",tt0107131
"Honey, I Blew Up the Kid",1992,PG,17 Jul 1992,89,10 nominations,50.0,4.8,"43,733",tt0104437
"Honey, I Shrunk the Kids",1989,PG,23 Jun 1989,93,Won 1 BAFTA Film Award2 wins & 10 nominations total,63.0,6.4,"151,509",tt0097523
Houseguest,1995,PG,06 Jan 1995,113,NA,-1.0,6.0,"6,921",tt0110066
I Love Trouble,1994,PG,29 Jun 1994,123,NA,-1.0,5.3,"11,969",tt0110093
I Am Number Four,2011,PG-13,18 Feb 2011,111,1 win & 1 nomination,36.0,6.1,"235,464",tt1464540
I'll Be Home for Christmas,1998,PG,13 Nov 1998,86,NA,-1.0,5.5,"10,550",tt0155753
Ice Princess,2005,G,18 Mar 2005,98,NA,55.0,6.0,"26,814",tt0396652
In the Army Now,1994,PG,12 Aug 1994,91,NA,-1.0,5.0,"13,460",tt0110123
Incredibles 2,2018,PG,15 Jun 2018,118,Nominated for 1 Oscar. 12 wins & 80 nominations total,80.0,7.6,"282,062",tt3606756
Indian Summer,1993,PG-13,23 Apr 1993,97,NA,51.0,6.6,"5,546",tt0107212
Innocent Blood,1992,R,25 Sep 1992,112,6 nominations,44.0,6.2,"10,073",tt0104511
Inside Out,2015,PG,19 Jun 2015,95,Won 1 Oscar. 101 wins & 116 nominations total,94.0,8.2,"681,506",tt2096673
Inspector Gadget,1999,PG,23 Jul 1999,78,1 win & 13 nominations,36.0,4.2,"47,711",tt0141369
Instinct,1999,R,04 Jun 1999,126,1 win & 2 nominations,43.0,6.6,"32,983",tt0128278
Into the Woods,2014,PG,25 Dec 2014,125,Nominated for 3 Oscars. 10 wins & 74 nominations total,69.0,5.9,"139,137",tt2180411
Invincible,2006,PG,25 Aug 2006,105,2 nominations,63.0,7.0,"69,914",tt0445990
Iron Man 3,2013,PG-13,03 May 2013,130,Nominated for 1 Oscar. 20 wins & 63 nominations total,62.0,7.2,"819,088",tt1300854
Iron Will,1994,PG,14 Jan 1994,108,NA,56.0,6.6,"8,441",tt0110157
It's Pat: The Movie,1994,PG-13,25 Nov 1994,77,1 win & 7 nominations,-1.0,2.7,"9,848",tt0110169
Jack,1996,PG-13,09 Aug 1996,113,6 nominations,31.0,5.8,"59,990",tt0116669
James and the Giant Peach,1996,PG,12 Apr 1996,79,Nominated for 1 Oscar. 4 wins & 13 nominations total,78.0,6.7,"65,236",tt0116683
Jefferson in Paris,1995,PG-13,31 Mar 1995,139,2 nominations,45.0,5.7,"3,024",tt0113463
John Carter,2012,PG-13,09 Mar 2012,132,2 wins & 8 nominations,51.0,6.6,"267,933",tt0401729
Judge Dredd,1995,R,30 Jun 1995,96,2 wins & 5 nominations,-1.0,5.5,"116,503",tt0113492
Jungle 2 Jungle,1997,PG,07 Mar 1997,105,3 nominations,42.0,5.1,"24,108",tt0119432
Jungle Cruise,2021,PG-13,30 Jul 2021,127,3 wins & 8 nominations,50.0,6.6,"171,755",tt0870154
Just Visiting,2001,PG-13,06 Apr 2001,88,NA,38.0,5.7,"19,098",tt0189192
Kazaam,1996,PG,17 Jul 1996,93,2 nominations,24.0,3.0,"24,212",tt0116756
Keeping the Faith,2000,PG-13,14 Apr 2000,128,2 wins & 6 nominations,60.0,6.4,"51,561",tt0171433
King Arthur,2004,PG-13,07 Jul 2004,126,4 wins & 8 nominations,46.0,6.3,"165,862",tt0349683
Krippendorf's Tribe,1998,PG-13,27 Feb 1998,94,1 nomination,-1.0,5.0,"5,526",tt0120725
Kundun,1997,PG-13,16 Jan 1998,134,Nominated for 4 Oscars. 7 wins & 13 nominations total,74.0,7.0,"27,787",tt0119485
Ladder 49,2004,PG-13,01 Oct 2004,115,1 win & 7 nominations,47.0,6.5,"57,545",tt0349710
Lady and the Tramp,1955,G,22 Jun 1955,76,Nominated for 1 BAFTA Film Award1 win & 2 nominations total,78.0,7.3,"131,997",tt0048280
Last Dance,1996,R,03 May 1996,103,1 nomination,-1.0,5.7,"4,358",tt0116827
Life with Mikey,1993,PG,04 Jun 1993,91,4 nominations,50.0,5.6,"5,947",tt0107413
Lilo & Stitch,2002,PG,21 Jun 2002,85,Nominated for 1 Oscar. 11 wins & 27 nominations total,73.0,7.3,"182,545",tt0275847
